phone,customer_id,type
572-266-7386,e1565084-f7d6-4e17-a535-e0cc171de1d4,Business
350-514-9190,f3616307-e9fd-4a95-8118-27f4ff5559a5,Cell
904-999-0756,f3616307-e9fd-4a95-8118-27f4ff5559a5,Home
997-851-3016,eba85161-99d1-40b9-b23e-96df045f06b6,Home
318-249-6307,7d3770e8-b4d4-4d31-9296-e0b2526b7c72,Home
688-294-5959,4d07bfcd-b8b8-4535-99e0-cfaa5c7a35e1,Cell
712-761-2025,c723ce76-c550-4ed7-af5b-0107d7da12fc,Cell
615-325-1657,430faa41-9bbb-4f99-bea1-6d8f7595fdaf,Home
688-664-3655,7012e9e5-c3bb-4af9-9972-832356e34c7f,Cell
159-606-9464,f957dd7c-8548-424d-9d7d-026c5364bb3d,Cell
505-345-8610,9406df53-9db4-41ac-b430-cce5ce85ba7e,Home
344-175-2452,7711ed1e-dd04-4508-aa63-05d364cb2e59,Business
825-869-7117,671784d5-0bc5-40f9-8904-9681a3ec00c3,Cell
501-228-0762,48b20902-6b29-4155-a4b8-28cd929d01c4,Home
689-269-8666,f32657c3-9ccc-4fc0-b4cf-8e2f46f2e572,Cell
818-509-9234,6f4e2382-4122-4432-8a7b-053f7fffd87e,Home
915-523-2575,6ca8a5ea-721a-4f5f-ae29-0a2f5d9ab947,Cell
400-568-0211,ea7fb0bd-7f53-41a2-b7a4-f857cf6309c6,Cell
319-261-7375,39d5f2e7-242f-440c-93ba-16f38de5744c,Home
365-469-4696,f8cc30aa-b851-456d-98b6-a015476bb878,Cell
381-838-4096,63c2645d-e8e2-4111-a8fd-7b6ffa8ff16f,Cell
870-129-3636,417149a8-7e8d-4617-90dc-105241bca718,Cell
140-882-1724,cf9567b4-698f-47b1-b13e-6b8bfc1403a6,Cell
157-822-6594,b16d0c21-f342-4299-bff7-a6d65e0a171b,Home
696-442-0199,b16d0c21-f342-4299-bff7-a6d65e0a171b,Cell
236-557-1406,b16d0c21-f342-4299-bff7-a6d65e0a171b,Cell
286-691-2760,a43d2762-90b0-423d-9b68-9b4cbe62b07c,Cell
159-606-9464,d9065100-4fe0-475a-b4a5-868437713502,Cell
520-868-7212,6abf3c8d-48ac-456e-97c1-01f0a28172ad,Cell
144-310-2354,7e01bd8c-05c8-4af6-834d-dd46797682c0,Cell
683-680-1515,04665d85-aa40-42cf-8d54-d3838e4d3d8a,Home
236-557-1406,04665d85-aa40-42cf-8d54-d3838e4d3d8a,Home
970-993-5935,70f4b5d0-f7b8-4dad-99cd-07d2630c51e8,Cell
572-266-7386,70f4b5d0-f7b8-4dad-99cd-07d2630c51e8,Home
293-812-4349,b45f52fb-7937-4e28-ac0f-95d72a855a11,Cell
313-279-0220,99a8192e-22ab-49c1-a95a-9ff23579432a,Home
147-211-1381,6b08ec3a-ef94-4c09-9347-f05ed26b2feb,Cell
650-218-2555,31778595-3e17-4876-a6fe-a95eaa0e0d98,Cell
304-257-3861,c897b6f5-5926-4c43-b8d0-385a92832e3e,Cell
870-129-3636,b25e51e2-ddcb-44f3-a47e-056f22b6d767,Cell
672-161-1162,2076e65d-efc1-4713-b8a0-1b9e263af406,Cell
542-702-3320,e45267d1-af40-4327-8974-38ef80086193,Cell
263-292-3653,a53db349-5937-4b24-92dd-da48584948d0,Cell
695-126-9431,e37a88fb-7eaa-4aa1-b542-8f87f42006a6,Cell
391-775-9044,e37a88fb-7eaa-4aa1-b542-8f87f42006a6,Home
238-596-0994,d8e07755-7a2a-40f6-aca8-01d8d0a4a729,Cell
325-176-3350,abe5bccb-f7fd-4e40-a6ad-bc55f8b8f946,Home
545-360-4607,294ff0e8-e21b-4974-88bb-44ba5eaf0239,Cell
768-565-1899,294ff0e8-e21b-4974-88bb-44ba5eaf0239,Cell
626-872-1901,de3f01b3-4899-4abb-aa54-025acf6695c8,Home
964-776-9141,de3f01b3-4899-4abb-aa54-025acf6695c8,Home
163-532-6897,de3f01b3-4899-4abb-aa54-025acf6695c8,Cell
792-151-2665,1a9803bb-9a36-40b4-b60e-085f6b8a4445,Home
650-570-8499,843f77ac-71c3-457b-bfc5-669a06c27023,Home
362-495-6641,a4e9bd99-b132-4279-8e64-2d887c17e49e,Business
659-499-3952,0b61812b-47cd-41f4-a0fd-ef95c2c15fdc,Cell
773-967-3586,0b61812b-47cd-41f4-a0fd-ef95c2c15fdc,Cell
569-673-1904,1f786b52-23c4-4967-992c-7463cc3d649f,Home
278-748-7726,c932d2c3-7952-4b9c-b70d-b9ccc5768dac,Business
810-139-5024,c9707129-d53c-4e44-804c-864fb149cb00,Home
397-938-9553,705d826a-27f3-4e77-b7e7-a55b359a26fa,Cell
805-886-5859,52209716-88a2-4142-88cb-7761084bbb0e,Cell
147-211-1381,02ebc286-5881-4e94-b700-dbc8d9824493,Home
803-137-4413,5245425c-f962-4b14-b034-c2366c485259,Home
900-428-1363,bb4f0c7d-e7f0-4fe1-a0db-6766264acb8a,Home
799-746-3096,9fcfac63-0da2-4c5c-b304-b375d713b947,Home
972-959-4154,d21a5bca-f066-4531-b98e-9a348f1be8f7,Home
238-563-9742,600c3049-4f8f-4e64-8597-e862fe7b29f3,Cell
709-767-2301,e44e7b67-a96d-491f-8fe2-fe2a5a390e0a,Home
370-585-3867,a8d0e3a4-1860-49c5-97fa-fb12c5ee3543,Home
134-824-5209,b8fb0402-7aa7-4ce7-b4be-9e97d2be121f,Cell
719-421-0916,41f389cd-749f-4bbf-b9e6-a5b98d47b163,Home
233-257-7061,41f389cd-749f-4bbf-b9e6-a5b98d47b163,Cell
127-973-8165,d0db89a3-a52c-4c32-91ae-3ebf83111d92,Home
683-680-1515,156727be-fbfd-442e-89d1-7b1ce8de93af,Home
816-637-3663,b833bce0-270f-4de1-a57b-71d2ae4a938f,Home
513-234-7348,b833bce0-270f-4de1-a57b-71d2ae4a938f,Cell
511-351-9356,e4a6c651-f2c2-466a-896c-456e56b7bb91,Home
696-278-9104,f988e150-0919-4d62-8a25-acc443d18aa8,Home
397-974-4914,85898427-d178-4c34-a1cb-c3b6239d6cf2,Home
352-488-8348,ef09e6ef-959a-46e8-b6f9-9ed8c8ae7a42,Business
702-596-6117,30ada524-9037-4705-bcf1-8fbfef5671d7,Home
657-476-5838,09a2b24f-f2cb-4615-b9fa-17e8637cda32,Cell
704-377-5823,09a2b24f-f2cb-4615-b9fa-17e8637cda32,Home
903-799-0504,09a2b24f-f2cb-4615-b9fa-17e8637cda32,Cell
424-355-7688,ec8e5212-ddea-47e9-bba9-9b7af0570d90,Cell
290-273-4750,af89bfae-08c5-4579-8dd8-e39d8975029f,Cell
157-822-6594,0ebd9143-d35a-4c90-9587-2cbf9af21547,Home
773-967-3586,359ed037-95ab-43f7-ada5-c9f2e372069a,Cell
502-488-8459,e439c804-444c-4908-b158-8f0295af592b,Home
567-967-9242,70492aad-a106-427a-9483-85e6186a3119,Cell
705-902-7768,ff48626b-93e3-4378-a6d0-30f82984638f,Home
146-300-0790,ff48626b-93e3-4378-a6d0-30f82984638f,Home
995-167-9473,3292bc68-b41e-4a05-bcef-5977b6d163b2,Home
850-230-3752,3292bc68-b41e-4a05-bcef-5977b6d163b2,Home
958-276-2381,0b8f993e-bc86-4935-b03d-8309d648e496,Home
194-834-8349,666225bb-3138-4f1d-b593-417c0a5105df,Home
648-865-7678,fa19de4d-574c-4579-bc3d-0c6ebfbd8d7b,Cell
488-742-1815,e4b751ac-ef7f-4e14-81cc-ee688a917fc0,Home
630-986-9864,417cd010-83a5-46d8-926a-e820514b0854,Business
881-950-4818,417cd010-83a5-46d8-926a-e820514b0854,Cell
205-440-7479,ea9b707a-d709-41ea-adc6-fa737d60acdb,Home
620-664-0972,26cbf121-06c5-4bbf-84c5-1ee52692cc06,Cell
761-468-3913,cc7088b1-33be-472c-b082-d222b34628d6,Home
893-220-5061,cc7088b1-33be-472c-b082-d222b34628d6,Cell
615-405-9878,303313d8-45d8-4e89-85e1-52c5606594db,Cell
851-896-9158,356971cc-7cdf-44d3-b758-4c9dcf453553,Home
741-628-5671,08a3c94f-f873-4707-a919-23d6d4f4fe80,Cell
908-701-3717,e53f2326-3123-4852-8182-faf934ee3494,Home
478-867-7216,c080add9-daf4-4ec8-a335-2531b59e05ef,Business
134-824-5209,8e52689f-14d8-475e-adbf-dd036af39ec1,Home
916-527-2974,095ce310-4826-4c11-8ff4-1a8269ed0e08,Cell
904-363-8273,801a8e1b-e047-48eb-85d4-65b2a67bda99,Home
410-175-6229,8e198010-bbdf-4578-a5fd-40716af28c45,Home
814-287-3485,a3d9e5f9-6613-4146-b6a7-275bff115946,Home
505-711-5341,dd5756b1-e252-4baf-a977-0ff2d9a5e6ee,Home
904-999-0756,632330a9-d582-4ca6-a6e1-4821faa2d772,Home
730-850-3015,632330a9-d582-4ca6-a6e1-4821faa2d772,Cell
123-941-4816,1b0d2425-24d8-4849-9f29-87aeb303fbdb,Cell
263-272-5142,1b0d2425-24d8-4849-9f29-87aeb303fbdb,Home
829-412-6165,be590c29-f00f-4e02-9b7c-333b7831c074,Home
645-887-4545,b83459ee-b292-416c-8047-7fc62a38c61f,Cell
511-351-9356,23f607ae-5c7d-41d9-8e8f-52a059b93185,Cell
397-614-2838,e6e2cf54-aa95-42bf-8c16-31dd737f8c60,Home
741-628-5671,1117bd34-e5d3-4694-ba3e-3defc1b44b24,Cell
437-898-3240,49b68c1a-5e2c-4bb1-9755-da5792160387,Home
693-410-1503,550cb428-8257-4d82-a758-36c41bb89ac7,Home
182-724-6203,43c443ee-cabe-4f37-b127-da7b231cd4e4,Business
124-667-6012,1104fd44-54fe-4fd5-943f-c84b11643a87,Cell
679-258-8376,c4b397d5-9475-4fd6-9772-950290ec7291,Cell
410-175-6229,2fff3a40-9624-4475-a820-09835fa98b6e,Business
980-808-8346,b603fa8c-3139-4f32-9feb-24d5486523d9,Cell
218-149-3666,b603fa8c-3139-4f32-9feb-24d5486523d9,Home
333-818-9440,699e27da-95af-402b-920c-06063f56d4b7,Cell
162-884-1116,83ae2b2e-9fe7-43d4-9d87-79875876e1fc,Cell
454-727-6747,2ee72425-e7b2-49c7-9b4f-b899d412e575,Home
869-451-2690,2ee72425-e7b2-49c7-9b4f-b899d412e575,Cell
850-230-3752,20a07982-5618-4825-89b7-3dabc3fb1e94,Home
466-345-8215,20a07982-5618-4825-89b7-3dabc3fb1e94,Cell
511-351-9356,933a5b2d-0637-49ec-bb1f-5cf9ad29279d,Home
584-149-8454,ca6c75e6-ccd7-4778-8b02-50c777e6e138,Home
638-380-7742,4ea109c2-215a-498a-bce5-050856898823,Home
853-746-5574,551d5e4c-a73d-416b-8131-cda4e23c98f4,Home
302-638-5928,551d5e4c-a73d-416b-8131-cda4e23c98f4,Cell
127-973-8165,7888740b-29af-40f8-85b6-3ecb95600af0,Cell
764-294-9923,c09a0dc6-46aa-4284-bcde-c8af36e82025,Home
471-402-8605,49e4e4b8-9617-4eef-8250-8df11b44206d,Business
539-277-4830,b03d0010-7a99-4132-bc0c-68073a7931f7,Home
768-565-1899,fc7ce130-4f5a-41f4-8b17-32ce804cd256,Cell
397-974-4914,fc7ce130-4f5a-41f4-8b17-32ce804cd256,Home
782-665-2717,85a7e7c7-1492-433d-991b-d1956bd79ba6,Business
437-703-7229,a04af230-2350-47aa-ab3a-4e80858cda22,Home
541-933-5912,a1a70af5-09df-41d8-a07d-36922089ec49,Cell
704-377-5823,02927582-1e71-44df-97f3-9945085abd50,Cell
778-408-9682,ce07b413-f156-4619-b876-77170f390271,Home
182-724-6203,feebbbbb-73c6-4140-888e-c29f9379dcfb,Cell
687-650-7398,feebbbbb-73c6-4140-888e-c29f9379dcfb,Cell
184-950-2871,5f86b3f0-e8bd-40ef-a214-e34e6a860a5e,Home
738-235-5218,489414b5-2ce1-4b2a-b381-34db66c45e15,Cell
312-848-2169,2f1b71ec-2a47-4e73-a694-fc7712124c95,Cell
573-937-1097,7541bad3-d014-4bde-8454-ffe026873e81,Home
707-457-6444,1262bd82-e543-4666-a6ba-af60a3b847a2,Cell
569-673-1904,1262bd82-e543-4666-a6ba-af60a3b847a2,Cell
772-829-0334,dfa3106b-8c73-4cd1-8f37-0d98fa46b6f8,Business
784-371-9318,d1b1ac86-2477-447d-8f6c-e1a78fdd941d,Home
503-418-5220,72cef61b-d07a-46c5-9edb-0c2462a1d8de,Cell
809-337-7695,c43192dc-b40a-452f-9380-fe28bdd67144,Cell
675-965-5816,c43192dc-b40a-452f-9380-fe28bdd67144,Home
862-699-3411,16579966-1231-4364-9994-3e349b9694d4,Cell
730-775-0910,490107df-661d-47ac-99cf-bdb0f3d87697,Cell
615-475-0577,2a143248-cdbe-4c1e-9b86-e1c7ad4b381c,Home
470-752-2534,a7de7d8c-d842-4fcc-b09a-b46129be870c,Home
155-150-1633,20632acd-e528-46f2-8526-754904b116a8,Cell
792-151-2665,20632acd-e528-46f2-8526-754904b116a8,Home
236-557-1406,34cca796-0caf-4abe-a938-c24eca1ef0ef,Cell
745-656-6679,34cca796-0caf-4abe-a938-c24eca1ef0ef,Cell
513-234-7348,d4c2c754-4863-4320-917d-2eade3fefc32,Cell
971-577-4294,5a0c54c8-77a8-4171-840b-bdc8a96ab194,Cell
136-770-8159,47eebafe-3251-4114-8a80-db0b4a23a0b3,Cell
605-513-4779,81790f1e-2830-4ecc-8324-dc07c0025e76,Cell
574-373-4999,81790f1e-2830-4ecc-8324-dc07c0025e76,Cell
210-806-9163,0eb39fc7-54c4-4d47-9c5b-8328a941cae6,Home
626-457-7145,0eb39fc7-54c4-4d47-9c5b-8328a941cae6,Cell
650-570-8499,0222d469-c56b-4bd8-8536-967210739a6d,Home
630-986-9864,fecd663e-a8f8-4680-9523-88477ee6f018,Cell
582-910-5521,268e477f-cc02-44e7-be5f-d9d8c90175b5,Cell
724-653-0681,d77dbd8a-b2a7-4f31-bed2-5f1da6a4633b,Cell
904-999-0756,8e161f37-7881-420a-baff-3a2477c4219f,Cell
522-322-1683,020a2601-4b59-4296-956f-97b7cad00150,Home
980-808-8346,b26086d7-561c-46f8-9128-97e3e1756d64,Home
410-175-6229,b26086d7-561c-46f8-9128-97e3e1756d64,Cell
800-756-1888,f7877488-5c0f-4ece-b9c3-eae1a294f27d,Home
263-292-3653,f7877488-5c0f-4ece-b9c3-eae1a294f27d,Cell
649-478-8867,1520bc3b-d6ce-450b-afa2-42d6b8530cb9,Business
397-614-2838,20655f5a-645a-40aa-a6c4-d6345c4ce4c5,Cell
693-694-6491,d45105f9-2358-4879-8b51-2f24e09ce37c,Business
693-244-7777,609a9f4c-609f-41e2-819f-3fb8154a408d,Business
282-669-1461,ade88c75-b7ba-4283-b602-41107eb34589,Cell
546-155-3565,13c30648-3b7c-4331-ab9a-68aae712eff0,Business
770-693-9244,2243398b-97ce-4d8b-8f79-e5f755222af6,Home
450-585-1638,6b8a6805-0d38-45a5-910f-643a311a9c85,Cell
876-249-4515,a1655d73-02be-4679-a897-60274dab758c,Home
147-724-4235,a1655d73-02be-4679-a897-60274dab758c,Cell
865-582-4240,27458085-d0f5-4147-b6ca-360fd10bc614,Home
537-789-8639,95951793-e6be-4f0e-a311-9c481a56d9f3,Home
701-246-0820,8be0eba4-1019-4101-85c3-28a631654082,Home
683-680-1515,871d7e5a-9eea-403d-8c72-e5f34fff6e6d,Cell
